0,3344.0
1,3791.0
2,1269.0
3,573.0
4,329.0
5,722.0
6,474.0
7,697.0
8,451.0
9,388.0
10,1215.0
11,701.0
12,941.0
13,531.0
14,643.0
15,1234.0
16,623.0
17,940.0
18,897.0
19,679.0
20,1454.0
21,761.0
22,3620.0
23,983.0
24,719.0
25,1160.0
26,471.0
27,802.0
28,667.0
29,433.0
30,1154.0
31,361.0
32,855.0
33,5987.0
34,1812.0
35,867.0
36,592.0
37,846.0
38,501.0
39,287.0
40,1304.0
41,365.0
42,802.0
43,503.0
44,1446.0
45,790.0
46,417.0
47,442.0
48,411.0
49,249.0
50,2988.0
51,344.0
52,283.0
53,198.0
54,212.0
55,327.0
56,206.0
57,185.0
58,133.0
59,85.0
60,325.0
61,71.0
62,146.0
63,133.0
64,122.0
65,194.0
66,1228.0
67,473.0
68,78.0
69,135.0
70,91.0
71,48.0
72,161.0
73,105.0
74,41.0
75,361.0
76,83.0
77,161.0
78,61.0
79,24.0
80,48.0
81,17.0
82,18.0
83,18.0
84,15.0
85,25.0
86,22.0
87,28.0
88,79.0
89,26.0
90,28.0
91,4.0
92,6.0
93,5.0
94,3.0
95,5.0
96,5.0
97,10.0
98,13.0
99,109.0
100,143.0
